het land;country
de week;week
de dag;day
wonen;to live (somewhere)
vandaag;today
hoe heet jij?;what is your name? (how are you called?)
ik woon in Utrecht;i live in Utrecht
ik studeer niet;i don't study
uit welk land kom je?;which country are you from?
de maand;month
waar werkt de vrouw?;where does the woman work?
hoe gaat het?;how is it going?
goed;good
goedemorgen!;good morning!
uitstekend;outstanding
de vrouw;woman
de man;man
hoe lang;how long
het brood;bread
het boek;book
de fiets;bycicle
het huis;house
het kind;child
de kat;cat
de schoen;shoe
de tafel;table
de tas;bag
de hond;dog
de winkel;shop
het jaar;year
goedenavond!;good evening!
luisteren;to listen
de woonplaats;place of living
u;you (official)
zij;she / they
jij studeert biologie;you study biology
de pen;pen
de jas;coat
de blouse;blouse
de kousen;stockings
de sokken;socks
het vest;vest
de trui;sweater
de schoenen;shoes
de rok;skirt
de jurk;dress
de broek;pants
de das;tie
Rose werkt in een restaurant;Rose works in a restaurant
mijn;my
de melk;milk
de stoel;stool / chair
wat voor werk heeft de man?;what kind of job does the man have?
hier;here
sinds;since / for
Ik kom uit Ierland;I come / am from Ireland
Ik woon in Groningen;I live in Groningen
Hoe is het met jou?;How is it with you?
overhemd;shirt